,gender,race,race_o,field,met,match,d_d_age,d_importance_same_race,d_importance_same_religion,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,d_interests_correlate,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,d_like,d_guess_prob_liked
68,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,1,[4-6],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[9-10],[6-8],[9-10],[9-10],[9-10],[9-10],[0-15],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[-1-0],[7-10],[0-3],[0-2],[6-8],[5-6]
81,female,other,european/caucasian-american,masters in public administration,0.0,1,[4-6],[0-1],[0-1],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-0.33],[5-6],[10-20],[0-2],[9-10],[5-6]
82,female,other,asian/pacific islander/asian-american,masters in public administration,0.0,1,[4-6],[0-1],[0-1],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0.33-1],[5-6],[10-20],[0-2],[6-8],[5-6]
83,female,other,european/caucasian-american,masters in public administration,0.0,1,[2-3],[0-1],[0-1],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[-1-0],[5-6],[10-20],[0-2],[6-8],[5-6]
84,female,other,latino/hispanic american,masters in public administration,0.0,1,[2-3],[0-1],[0-1],[21-100],[0-15],[16-20],[0-15],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[-1-0],[5-6],[10-20],[0-2],[0-5],[5-6]
85,female,other,european/caucasian-american,masters in public administration,0.0,1,[0-1],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0.33-1],[5-6],[10-20],[0-2],[6-8],[5-6]
86,female,other,european/caucasian-american,masters in public administration,0.0,1,[4-6],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-0.33],[5-6],[10-20],[0-2],[6-8],[5-6]
88,female,other,european/caucasian-american,masters in public administration,0.0,1,[2-3],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[-1-0],[5-6],[10-20],[0-2],[6-8],[5-6]
117,male,european/caucasian-american,european/caucasian-american,law,0.0,1,[2-3],[0-1],[0-1],[0-15],[16-20],[21-100],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[-1-0],[7-10],[10-20],[3-5],[9-10],[0-4]
118,male,european/caucasian-american,other,law,0.0,1,[4-6],[0-1],[0-1],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[0-0.33],[7-10],[10-20],[3-5],[6-8],[0-4]
157,male,european/caucasian-american,european/caucasian-american,business,0.0,1,[0-1],[6-10],[2-5],[0-15],[16-20],[21-100],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-0.33],[7-10],[10-20],[3-5],[6-8],[5-6]
158,male,european/caucasian-american,other,business,0.0,1,[0-1],[6-10],[2-5],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0.33-1],[7-10],[10-20],[3-5],[6-8],[5-6]
168,male,european/caucasian-american,other,political science,0.0,1,[4-6],[0-1],[0-1],[16-20],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-0.33],[0-4],[0-3],[0-2],[6-8],[0-4]
177,male,european/caucasian-american,european/caucasian-american,business,0.0,1,[2-3],[6-10],[6-10],[0-15],[16-20],[21-100],[16-20],[16-20],[0-15],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[21-100],[0-15],[0-15],[0-15],[0-15],[21-100],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[0-5],[6-8],[0-5],[0-5],[0-0.33],[5-6],[0-3],[0-2],[6-8],[5-6]
197,male,european/caucasian-american,european/caucasian-american,finance,0.0,1,[0-1],[0-1],[0-1],[0-15],[16-20],[21-100],[16-20],[16-20],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[6-8],[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[9-10],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[9-10],[-1-0],[5-6],[10-20],[0-2],[6-8],[7-10]
220,female,black/african american,european/caucasian-american,tc [health ed],0.0,1,[2-3],[0-1],[2-5],[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[5-6]
221,female,black/african american,european/caucasian-american,tc [health ed],0.0,1,[0-1],[0-1],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[5-6]
235,female,asian/pacific islander/asian-american,european/caucasian-american,psychology,0.0,1,[2-3],[6-10],[6-10],[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[0-15],[16-20],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[3-5],[6-8],[5-6]
236,female,asian/pacific islander/asian-american,european/caucasian-american,psychology,1.0,1,[2-3],[6-10],[6-10],[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-15],[16-20],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[3-5],[9-10],[7-10]
237,female,asian/pacific islander/asian-american,european/caucasian-american,psychology,0.0,1,[7-37],[6-10],[6-10],[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[16-20],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[-1-0],[5-6],[0-3],[3-5],[6-8],[5-6]
302,female,latino/hispanic american,european/caucasian-american,speech language pathology,0.0,1,[4-6],[0-1],[2-5],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[16-20],[0-15],[16-20],[16-20],[21-100],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[0-0.33],[5-6],[4-9],[0-2],[6-8],[5-6]
332,female,european/caucasian-american,european/caucasian-american,social work,0.0,1,[2-3],[2-5],[2-5],[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],[-1-0],[7-10],[4-9],[3-5],[6-8],[0-4]
333,female,european/caucasian-american,european/caucasian-american,social work,0.0,1,[4-6],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],[0-0.33],[7-10],[4-9],[3-5],[6-8],[0-4]
359,female,european/caucasian-american,black/african american,law,0.0,1,[0-1],[2-5],[2-5],[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[0.33-1],[0-4],[0-3],[0-2],[6-8],[5-6]
375,female,european/caucasian-american,black/african american,law,1.0,1,[0-1],[2-5],[6-10],[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[-1-0],[5-6],[4-9],[3-5],[9-10],[7-10]
417,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,applied maths/econs,0.0,1,[4-6],[2-5],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[-1-0],[5-6],[4-9],[0-2],[6-8],[7-10]
429,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,1,[2-3],[6-10],[6-10],[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[-1-0],[7-10],[4-9],[5-18],[6-8],[7-10]
430,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,1,[0-1],[6-10],[6-10],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-0.33],[7-10],[4-9],[5-18],[6-8],[7-10]
433,female,european/caucasian-american,asian/pacific islander/asian-american,mathematics,0.0,1,[0-1],[6-10],[6-10],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-0.33],[7-10],[4-9],[5-18],[6-8],[7-10]
437,female,european/caucasian-american,european/caucasian-american,mathematics,0.0,1,[2-3],[6-10],[6-10],[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[-1-0],[7-10],[4-9],[5-18],[6-8],[7-10]
449,female,european/caucasian-american,asian/pacific islander/asian-american,statistics,1.0,1,[0-1],[6-10],[6-10],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[-1-0],[5-6],[4-9],[0-2],[6-8],[5-6]
451,female,european/caucasian-american,european/caucasian-american,statistics,0.0,1,[2-3],[6-10],[6-10],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[-1-0],[5-6],[4-9],[0-2],[0-5],[5-6]
