,gender,race,race_o,field,met,match,d_d_age,d_importance_same_race,d_importance_same_religion,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,d_interests_correlate,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,d_like,d_guess_prob_liked
12,female,european/caucasian-american,asian/pacific islander/asian-american,law,0.0,0,[2-3],[2-5],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[0-5],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-0.33],[0-4],[4-9],[3-5],[6-8],[7-10]
13,female,european/caucasian-american,european/caucasian-american,law,0.0,1,[0-1],[2-5],[2-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[-1-0],[0-4],[4-9],[3-5],[6-8],[7-10]
14,female,european/caucasian-american,latino/hispanic american,law,1.0,0,[0-1],[2-5],[2-5],[21-100],[0-15],[16-20],[0-15],[0-15],[16-20],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-0.33],[0-4],[4-9],[3-5],[6-8],[5-6]
15,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[0-1],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0.33-1],[0-4],[4-9],[3-5],[6-8],[5-6]
16,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[4-6],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[0-5],[9-10],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0.33-1],[0-4],[4-9],[3-5],[6-8],[7-10]
17,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[2-3],[2-5],[2-5],[21-100],[0-15],[0-15],[0-15],[0-15],[21-100],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-0.33],[0-4],[4-9],[3-5],[0-5],[5-6]
18,female,european/caucasian-american,european/caucasian-american,law,0.0,1,[4-6],[2-5],[2-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-0.33],[0-4],[4-9],[3-5],[0-5],[5-6]
19,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[0-1],[2-5],[2-5],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0.33-1],[0-4],[4-9],[3-5],[6-8],[7-10]
30,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[4-6],[0-1],[0-1],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[7-10]
31,female,european/caucasian-american,european/caucasian-american,law,1.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[0-5],[9-10],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[0-4]
32,female,european/caucasian-american,asian/pacific islander/asian-american,law,0.0,0,[0-1],[0-1],[0-1],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[0-0.33],[0-4],[0-3],[0-2],[0-5],[0-4]
33,female,european/caucasian-american,european/caucasian-american,law,1.0,1,[0-1],[0-1],[0-1],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[7-10]
34,female,european/caucasian-american,latino/hispanic american,law,0.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[16-20],[0-15],[0-15],[16-20],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[0-0.33],[0-4],[0-3],[0-2],[6-8],[7-10]
35,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[2-3],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[0.33-1],[0-4],[0-3],[0-2],[0-5],[0-4]
36,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[7-37],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[9-10],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[0.33-1],[0-4],[0-3],[0-2],[0-5],[0-4]
37,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[4-6],[0-1],[0-1],[21-100],[0-15],[0-15],[0-15],[0-15],[21-100],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[9-10],[0-5],[9-10],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[0-0.33],[0-4],[0-3],[0-2],[6-8],[5-6]
38,female,european/caucasian-american,european/caucasian-american,law,0.0,1,[4-6],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[-1-0],[0-4],[0-3],[0-2],[6-8],[7-10]
39,female,european/caucasian-american,european/caucasian-american,law,0.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[-1-0],[0-4],[0-3],[0-2],[9-10],[7-10]
50,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[4-6],[0-1],[0-1],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
51,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
52,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,law,1.0,0,[0-1],[0-1],[0-1],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[-1-0],[0-4],[0-3],[3-5],[6-8],[0-4]
53,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,1,[0-1],[0-1],[0-1],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-0.33],[0-4],[0-3],[3-5],[9-10],[0-4]
54,female,asian/pacific islander/asian-american,latino/hispanic american,law,1.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[16-20],[0-15],[0-15],[16-20],[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0.33-1],[0-4],[0-3],[3-5],[0-5],[0-4]
55,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[2-3],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-0.33],[0-4],[0-3],[3-5],[0-5],[0-4]
56,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[7-37],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[7-10]
57,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[4-6],[0-1],[0-1],[21-100],[0-15],[0-15],[0-15],[0-15],[21-100],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-0.33],[0-4],[0-3],[3-5],[0-5],[5-6]
58,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,1,[4-6],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0.33-1],[0-4],[0-3],[3-5],[9-10],[5-6]
59,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[0-15],[21-100],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0.33-1],[0-4],[0-3],[3-5],[9-10],[7-10]
60,female,asian/pacific islander/asian-american,european/caucasian-american,law,0.0,0,[4-6],[2-5],[2-5],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-0.33],[7-10],[0-3],[0-2],[6-8],[0-4]
61,female,asian/pacific islander/asian-american,european/caucasian-american,law,1.0,0,[0-1],[2-5],[2-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[0-15],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[9-10],[0-5],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-0.33],[7-10],[0-3],[0-2],[6-8],[0-4]
62,female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,law,1.0,0,[0-1],[2-5],[2-5],[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-15],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0.33-1],[7-10],[0-3],[0-2],[6-8],[7-10]
63,female,asian/pacific islander/asian-american,european/caucasian-american,law,1.0,1,[0-1],[2-5],[2-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[0-15],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[-1-0],[7-10],[0-3],[0-2],[6-8],[5-6]
